Priority,Company,Question,Scale_Requirements,Key_Components,LP_Hints
1,Dropbox/Google,Design a distributed file storage and sync system like Dropbox or Google Drive,"1B files, 10PB storage, real-time sync, conflict resolution","Chunk Storage, Metadata Service, Sync Engine (delta sync), Conflict Resolution (OT/CRDT), Notification Service","Ownership (data integrity), Dive Deep (sync conflicts), Invent and Simplify (delta sync efficiency)"
1,Amazon/Google,Design a distributed task scheduler like cron at scale,"10M scheduled tasks, exactly-once execution, failure recovery","Task Queue, Scheduler (consistent hashing), Worker Pool, Dead Letter Queue, Heartbeat Monitor","Deliver Results (exactly-once), Insist on Highest Standards (failure recovery), Ownership (task reliability)"
2,Stripe/PayPal,Design a payment processing system with idempotency and reconciliation,"10K TPS, exactly-once payments, multi-currency","Payment Gateway, Idempotency Store, Ledger Service, Reconciliation Engine, Fraud Detection","Earn Trust (financial accuracy), Insist on Highest Standards (idempotency), Dive Deep (reconciliation)"
2,Amazon,Design a notification system supporting push/email/SMS at scale,"100M users, 1B notifications/day, priority queues","Notification Router, Priority Queue, Template Engine, Rate Limiter, Delivery Tracker, Preference Service","Customer Obsession (preference respect), Frugality (batching), Deliver Results (delivery rate SLA)"
2,Google/Amazon,Design a rate limiter for a distributed API gateway,"1M clients, per-client and global limits, distributed state","Token Bucket / Sliding Window, Distributed Counter (Redis), Config Service, Analytics","Insist on Highest Standards (fairness), Dive Deep (algorithm choice), Frugality (resource protection)"
2,Amazon/Netflix,Design a recommendation engine for products or movies,"100M users, 10M items, real-time and batch recommendations","Collaborative Filtering, Content-Based Filtering, Feature Store, ML Pipeline, A/B Testing","Customer Obsession (personalization), Learn and Be Curious (ML models), Invent and Simplify (hybrid approach)"
2,LinkedIn,Design LinkedIn feed with relevance ranking and real-time updates,"500M users, mixed content types (posts/articles/jobs), engagement optimization","Feed Ranking Service, Social Graph, Content Store, Real-time Event Stream, A/B Framework","Customer Obsession (relevance), Think Big (social graph scale), Are Right A Lot (ranking trade-offs)"
2,Spotify,Design a music streaming service with personalized playlists,"400M users, 100M songs, Discover Weekly, offline mode","Audio Storage (CDN), Metadata Service, Recommendation Engine, Playlist Service, Offline Sync","Customer Obsession (discovery), Invent and Simplify (audio streaming), Learn and Be Curious (ML recommendations)"
2,Google,Design a web crawler that indexes the entire internet,"1B pages, politeness constraints, duplicate detection","URL Frontier, DNS Resolver, Content Parser, Deduplication (SimHash), Robots.txt Compliance, PageRank","Insist on Highest Standards (completeness), Dive Deep (duplicate detection), Ownership (crawl politeness)"
2,Amazon,Design a distributed key-value store like DynamoDB,"1T keys, sub-10ms latency, 99.99% availability","Consistent Hashing, Replication (quorum), Vector Clocks, Merkle Trees, Gossip Protocol","Dive Deep (consistency model), Think Big (trillion keys), Deliver Results (availability SLA)"
2,Airbnb,Design Airbnb - search with geo-filtering and booking system,"10M listings, geo-search, dynamic pricing, double-booking prevention","Geospatial Index, Search Service (Elasticsearch), Booking Service (distributed lock), Pricing Engine, Review System","Customer Obsession (search UX), Insist on Highest Standards (no double booking), Invent and Simplify (dynamic pricing)"
2,Slack/Discord,Design a real-time collaborative document editor like Google Docs,"100M docs, concurrent editing, offline support","Operational Transform (OT) or CRDT, WebSocket Server, Document Storage, Version History, Presence Service","Invent and Simplify (conflict-free editing), Think Big (concurrent scale), Customer Obsession (real-time feel)"
2,Amazon/Google,Design a distributed logging and monitoring system,"10TB logs/day, real-time alerting, 30-day retention","Log Collector (Fluentd), Message Bus (Kafka), Indexing (Elasticsearch), Time-Series DB, Alert Engine","Dive Deep (debugging capability), Insist on Highest Standards (alerting accuracy), Deliver Results (retention SLA)"
2,Netflix,Design a content delivery network (CDN) for global video delivery,"200+ countries, 4K streaming, 99.99% uptime","Edge Servers, Origin Shield, DNS-based routing, Cache Hierarchy, Health Monitoring","Think Big (global reach), Customer Obsession (low latency), Frugality (bandwidth optimization)"
3,Bloomberg/NYSE,Design a stock trading system with real-time price updates,"1M concurrent users, sub-second price updates, order matching","Order Book (price-time priority), Matching Engine, Market Data Feed, WebSocket Gateway, Audit Log","Insist on Highest Standards (order accuracy), Bias for Action (low latency), Dive Deep (matching algorithm)"
3,Zoom/Google,Design a video conferencing system supporting 1000-person calls,"1M concurrent meetings, adaptive quality, screen sharing","SFU (Selective Forwarding Unit), Media Server, Signaling Service (WebRTC), Recording Service, Bandwidth Estimator","Customer Obsession (quality), Think Big (large meetings), Invent and Simplify (adaptive bitrate)"
3,GitHub,Design a code review and CI/CD pipeline system,"10M repos, parallel builds, webhook triggers","Source Control (Git), Build Queue, Worker Pool, Artifact Storage, Webhook Router, Status API","Deliver Results (build speed), Insist on Highest Standards (test reliability), Ownership (pipeline ownership)"
3,Google,Design Google Calendar with recurring events and timezone support,"1B users, recurring event expansion, cross-timezone scheduling","Event Store, Recurrence Engine (RFC 5545), Notification Service, Free/Busy API, Timezone Service","Customer Obsession (scheduling UX), Dive Deep (recurrence edge cases), Deliver Results (notification reliability)"
3,Uber Eats/DoorDash,Design a food delivery system with real-time order tracking,"50M orders/month, driver assignment, ETA estimation, restaurant management","Order Service, Driver Matching (geospatial), Kitchen Display System, Tracking Service, ETA ML Model","Customer Obsession (accurate ETA), Bias for Action (fast matching), Deliver Results (delivery time SLA)"
3,WhatsApp,Design a distributed message queue system like Kafka from scratch,"1M topics, 10M messages/sec, exactly-once delivery","Log-structured Storage, Partition Leader Election, Consumer Groups, ISR Replication, Compaction","Dive Deep (replication protocol), Think Big (throughput), Insist on Highest Standards (exactly-once)"
3,Google,Design a distributed cache system like Memcached or Redis cluster,"100TB cache, sub-ms latency, auto-sharding","Consistent Hashing, Slab Allocator, Replication, Eviction Policies (LRU/LFU), Client-side Routing","Frugality (memory efficiency), Dive Deep (eviction strategy), Deliver Results (hit rate SLA)"
3,Amazon,Design an inventory management system preventing overselling during flash sales,"100K concurrent buyers, 1000 items, no overselling","Distributed Locking (Redlock), Reservation Pattern, Event Sourcing, Saga Pattern, Queue-based Processing","Insist on Highest Standards (consistency), Deliver Results (no overselling), Bias for Action (queue processing)"
3,Meta,Design a social graph system supporting friend recommendations,"2B users, 6 degrees of separation, mutual friend counting","Graph Database (Neo4j/TAO), BFS/DFS traversal, Precomputed Friend-of-Friend, Cache Layer, Batch Processing","Think Big (2B node graph), Invent and Simplify (precomputation), Customer Obsession (relevant suggestions)"
3,Twitch/YouTube,Design a live streaming platform with real-time chat,"10M concurrent viewers, sub-3s latency, chat moderation","Ingest Server (RTMP), Transcoding, CDN (HLS/DASH), Chat Service (WebSocket), Moderation Service (ML)","Customer Obsession (low latency), Think Big (concurrent scale), Insist on Highest Standards (content moderation)"
3,Any,Design a URL/content-based phishing detection system,"1M URLs/day, real-time scanning, low false positive","URL Feature Extraction, ML Classifier, Reputation DB, Sandbox (headless browser), Feedback Loop","Earn Trust (user safety), Dive Deep (feature engineering), Insist on Highest Standards (low false positives)"
