Priority,Leadership_Principle,Company,Question,STAR_Focus
1,Insist on the Highest Standards,Amazon,Describe a situation where you raised the bar for a deliverable that others considered good enough.,Task - redefining good enough
1,Insist on the Highest Standards,Amazon,Give me an example of when you found and fixed a defect that others had missed.,Situation - attention to detail
1,Insist on the Highest Standards,Amazon,Tell me about a time you implemented coding standards or best practices on your team.,Action - process improvement
1,Insist on the Highest Standards,Amazon,Describe a time when you had to push back on a deadline because the quality was not ready.,Action - defending quality
1,Think Big,Amazon,Tell me about a time you proposed an ambitious idea. How did you get buy-in?,Action - vision and persuasion
1,Think Big,Amazon,Describe a situation where you thought about the long-term architecture instead of just the immediate fix.,Action - strategic thinking
1,Think Big,Amazon,Give me an example of when you set a bold goal that others thought was unrealistic.,Situation - ambitious target setting
1,Think Big,Amazon,Tell me about a project where the scope grew significantly. How did you manage it?,Task - scope management
1,Think Big,Amazon,Describe a time you identified a market or business opportunity that others had missed.,Situation - strategic vision
1,Bias for Action,Amazon,Tell me about a time you had to make a quick decision without all the information you wanted.,Action - speed of decision
1,Bias for Action,Amazon,Describe a situation where taking action quickly prevented a bigger problem.,Result - impact of speed
1,Bias for Action,Amazon,Give me an example of when you chose to act rather than wait for perfect information.,Action - calculated risk taking
1,Bias for Action,Amazon,Tell me about a time when you launched something that was MVP and iterated from there.,Action - iterative delivery
1,Bias for Action,Amazon,Describe a situation where analysis paralysis was happening and you broke through it.,Action - driving momentum
1,Frugality,Amazon,Tell me about a time you accomplished something significant with limited resources.,Result - resourcefulness
1,Frugality,Amazon,Describe a situation where you had to find a creative solution because budget was constrained.,Action - creative problem solving under constraints
1,Frugality,Amazon,Give me an example of when you reduced costs while maintaining or improving quality.,Result - cost optimization
1,Frugality,Amazon,Tell me about a time you challenged unnecessary spending on a project or process.,Action - cost consciousness
1,Frugality,Amazon,Describe how you prioritized features when you could not build everything.,Action - prioritization under constraints
1,Earn Trust,Amazon,Tell me about a time you had to admit a mistake to your team or manager.,Action - vulnerability and honesty
1,Earn Trust,Amazon,Describe a situation where you had to rebuild trust with a colleague or stakeholder.,Action - trust repair
1,Earn Trust,Amazon,Give me an example of when you delivered bad news. How did you handle it?,Action - transparent communication
1,Earn Trust,Amazon,Tell me about a time you disagreed with your manager. What did you do?,Action - respectful disagreement
1,Earn Trust,Amazon,Describe a situation where you had to be transparent about a project risk or failure.,Action - proactive transparency
1,Dive Deep,Amazon,Tell me about a time you had to dig into the data to find the root cause of a problem.,Action - root cause analysis
1,Dive Deep,Amazon,Describe a situation where surface-level analysis would have led to the wrong conclusion.,Situation - misleading metrics
1,Dive Deep,Amazon,Give me an example of when you caught an issue by looking at the details that others had glossed over.,Action - detail orientation
1,Dive Deep,Amazon,Tell me about a time you used metrics to drive a decision or prove a hypothesis.,Action - data-driven decision making
1,Dive Deep,Amazon,Describe a debugging session where you had to go multiple layers deep to find the issue.,Action - systematic investigation
1,Have Backbone Disagree and Commit,Amazon,Tell me about a time you strongly disagreed with a decision but committed to it once it was made.,Action - disagree and commit
1,Have Backbone Disagree and Commit,Amazon,Describe a situation where you pushed back on a senior leader because you believed they were wrong.,Action - courageous disagreement
1,Have Backbone Disagree and Commit,Amazon,Give me an example of when standing your ground led to a better outcome.,Result - impact of conviction
1,Have Backbone Disagree and Commit,Amazon,Tell me about a time the team went in a direction you disagreed with. How did you handle it?,Action - commitment after disagreement
1,Have Backbone Disagree and Commit,Amazon,Describe a time you had to convince a team to change direction on a project.,Action - influence without authority
1,Deliver Results,Amazon,Tell me about the most challenging project you delivered. What made it hard?,Situation - complexity and constraints
1,Deliver Results,Amazon,Describe a situation where you had to overcome significant obstacles to meet a deadline.,Action - obstacle removal
1,Deliver Results,Amazon,Give me an example of when you had competing priorities and still delivered on all of them.,Action - prioritization and execution
1,Deliver Results,Amazon,Tell me about a time a project was at risk of failing. What did you do to turn it around?,Action - course correction
1,Deliver Results,Amazon,Describe a time you delivered something with measurable business impact. What were the metrics?,Result - quantified impact
1,Strive to be Earth's Best Employer,Amazon,Tell me about a time you helped create an inclusive team environment.,Action - fostering inclusion
1,Strive to be Earth's Best Employer,Amazon,Describe a situation where you supported a struggling team member.,Action - empathetic leadership
1,Strive to be Earth's Best Employer,Amazon,Give me an example of when you improved team morale during a tough period.,Result - team wellbeing improvement
1,Success and Scale Bring Broad Responsibility,Amazon,Tell me about a time you considered the broader impact of a technical decision on the community or environment.,Action - responsible decision making
1,Success and Scale Bring Broad Responsibility,Amazon,Describe a situation where you advocated for ethical practices in your work.,Action - ethical leadership
1,Googleyness,Google,Tell me about a time you worked with someone who was difficult to work with. How did you handle it?,Action - interpersonal skills
1,Googleyness,Google,Describe a situation where you helped a colleague succeed even though it did not directly benefit you.,Action - selfless collaboration
1,Googleyness,Google,Give me an example of when you brought fun or positivity to a stressful work situation.,Action - positive influence
1,Googleyness,Google,Tell me about a time you navigated ambiguity without clear direction from leadership.,Action - comfort with ambiguity
1,Googleyness,Google,Describe a time you pushed for diversity of thought in a team discussion.,Action - inclusive thinking
1,General Leadership,Google,Tell me about a time you influenced a team without having direct authority over them.,Action - influence without authority
1,General Leadership,Google,Describe a situation where you had to lead a cross-functional initiative.,Task - cross-functional leadership
1,General Leadership,Google,Give me an example of when you had to align multiple stakeholders with conflicting priorities.,Action - stakeholder management
1,General Leadership,Google,Tell me about a time you stepped up to lead when there was a leadership vacuum.,Situation - emergent leadership
1,General Leadership,Google,Describe a time you delegated effectively and it led to a better outcome.,Action - delegation skills
1,Cognitive Ability,Google,Tell me about the most complex technical problem you have solved. Walk me through your approach.,Action - structured problem solving
1,Cognitive Ability,Google,Describe a situation where you had to make a decision with pros and cons on both sides.,Action - analytical decision making
1,Cognitive Ability,Google,Give me an example of when you identified a non-obvious pattern in data or behavior.,Situation - pattern recognition
1,Cognitive Ability,Google,Tell me about a time you had to break down a large ambiguous problem into manageable pieces.,Action - decomposition skills
1,Cognitive Ability,Google,Describe a time you had to learn from failure and apply that learning to a subsequent project.,Result - iterative learning
1,Role-Related Knowledge,Google,Tell me about a system you designed that you are most proud of. Why?,Action - design thinking and trade-offs
1,Role-Related Knowledge,Google,Describe a time you improved the performance or reliability of a production system.,Result - measurable system improvement
1,Role-Related Knowledge,Google,Give me an example of when you had to make a build vs buy decision. What factors did you consider?,Action - strategic technical judgment
1,Role-Related Knowledge,Google,Tell me about a time you had to debug a critical production incident under time pressure.,Action - incident response and composure
1,Role-Related Knowledge,Google,Describe a situation where you had to choose between multiple architectural approaches.,Action - architectural trade-off analysis
1,Conflict Resolution,Both,Tell me about a time you had a conflict with a teammate over a technical approach. How was it resolved?,Action - constructive conflict resolution
1,Conflict Resolution,Both,Describe a situation where two teams had competing priorities and you had to mediate.,Action - mediation and negotiation
1,Conflict Resolution,Both,Give me an example of when you received harsh feedback. How did you respond?,Action - feedback reception
1,Conflict Resolution,Both,Tell me about a time you had to manage a disagreement between team members.,Action - team conflict management
1,Conflict Resolution,Both,Describe a time you had to give pushback to a product manager or designer on feasibility.,Action - managing cross-functional tension
1,Failure and Growth,Both,Tell me about your biggest professional failure. What did you learn?,Result - growth from failure
1,Failure and Growth,Both,Describe a project that did not go as planned. What would you do differently?,Result - retrospective thinking
1,Failure and Growth,Both,Give me an example of when you took a risk that did not pay off.,Result - risk assessment learning
1,Failure and Growth,Both,Tell me about a time you missed a deadline. What happened and what did you do about it?,Action - accountability and recovery
1,Failure and Growth,Both,Describe a situation where you had to pivot your approach mid-project because the original plan was failing.,Action - adaptability
